#2025/12/18 16:45:13
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw,gps_status_code
1.527,-0.02647,0.13350,-0.00259,-0.01698,0.05100,-9.81047,30.0,-0.06977,-0.32611,359.99515,1
1.537,-0.07888,0.13938,-0.00153,-0.01096,0.05506,-9.80354,30.0,-0.06129,-0.34798,359.99515,1
1.547,-0.07628,0.07722,0.00324,-0.00871,0.05367,-9.80678,30.0,-0.07054,-0.32810,359.99512,1
1.557,-0.07499,0.01048,0.00415,-0.00781,0.05312,-9.80507,30.0,-0.05939,-0.34898,359.99515,1
1.567,0.01369,0.00704,0.00139,-0.01349,0.06473,-9.80731,30.0,-0.06702,-0.32968,359.99512,1
1.577,0.00338,0.00545,0.00099,-0.00672,0.06330,-9.80533,30.0,-0.05383,-0.34884,359.99515,1
1.587,-0.00101,0.06936,0.00160,-0.00114,0.05686,-9.80460,30.0,-0.05968,-0.32643,359.99515,1
1.597,-0.04658,0.05049,0.00124,-0.00482,0.05431,-9.79541,30.0,-0.04734,-0.34542,359.99518,1
1.607,-0.08594,0.02165,-0.00045,-0.01805,0.05914,-9.78880,30.0,-0.06218,-0.32922,359.99518,1
1.617,-0.03470,0.01104,-0.00186,-0.00855,0.05824,-9.80708,30.0,-0.04348,-0.34317,359.99518,1
1.627,-0.06026,0.13576,-0.00352,-0.01090,0.05787,-9.81987,30.0,-0.05975,-0.32888,359.99518,1
1.637,0.08605,-0.00921,-0.00265,-0.00273,0.06365,-9.80429,30.0,-0.04666,-0.34736,359.99515,1
1.647,-0.05709,-0.04429,-0.00425,-0.01737,0.05388,-9.80689,30.0,-0.06433,-0.33371,359.99512,1
1.657,-0.04534,-0.07878,-0.00624,-0.01124,0.05029,-9.81688,30.0,-0.04303,-0.34122,359.99509,1
1.667,-0.04165,0.01557,-0.00852,-0.01767,0.06063,-9.80588,30.0,-0.06354,-0.33430,359.99503,1
1.677,-0.06228,0.05146,-0.00475,-0.02304,0.05863,-9.80162,30.0,-0.04222,-0.34230,359.99496,1
1.687,-0.13725,0.17230,-0.00547,-0.01926,0.05794,-9.80597,30.0,-0.06220,-0.33505,359.99490,1
