#2025/09/09 15:11:30
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw
1.277,0.20387,0.07209,0.03422,0.03713,0.05874,9.81847,0.0,-0.28564,0.29591,0.00718
1.287,-0.00981,-0.03213,-0.04077,0.05701,0.03142,9.76209,0.0,-0.19964,0.37392,0.00695
1.297,-0.04847,-0.01651,0.04888,0.04369,0.04753,9.78500,0.0,-0.26618,0.28142,0.00618
1.307,-0.11774,0.02208,0.12617,0.03264,0.04782,9.81451,0.0,-0.18350,0.35733,0.00666
1.317,-0.13332,0.02589,0.01573,0.03446,0.04787,9.77538,0.0,-0.13861,0.25209,0.00843
1.327,-0.10635,-0.01648,-0.04792,0.02620,0.03616,9.79603,0.0,-0.24157,0.29375,0.00750
1.337,-0.04344,0.15506,-0.01881,0.03195,0.02580,9.80689,0.0,-0.16428,0.21111,0.00665
1.347,-0.00731,0.07744,-0.00742,0.01341,0.03948,9.78433,0.0,-0.20680,0.10769,0.00673
1.357,-0.03726,0.09152,0.03995,0.02407,0.03885,9.80537,0.0,-0.12202,0.18254,0.00625
1.367,-0.14624,0.08513,0.00430,0.04005,0.04153,9.79265,0.0,-0.21161,0.24880,0.00649
1.377,-0.18711,-0.00545,-0.05221,0.02538,0.03961,9.79372,0.0,-0.32321,0.25225,0.00603
1.387,-0.03002,0.06045,0.01202,0.02570,0.04771,9.78819,0.0,-0.21146,0.23657,0.00496
1.397,-0.01271,0.00817,0.07980,0.03767,0.04493,9.80091,0.0,-0.13813,0.32410,0.00496
1.407,0.02692,-0.06664,0.11655,0.04226,0.04385,9.79687,0.0,-0.23635,0.26773,0.00610
1.417,0.06333,-0.05098,0.05511,0.04404,0.04343,9.78644,0.0,-0.33655,0.21373,0.00749
1.427,0.05517,-0.00109,0.04234,0.03579,0.04034,9.79431,0.0,-0.23734,0.26854,0.00713
1.437,0.05252,-0.03713,-0.00550,0.03562,0.03622,9.79732,0.0,-0.14650,0.20059,0.00744
