#2025/12/15 13:47:37
mcu_time,latitude,longitude,altitude,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_millisecond,gps_status_code
662.779,25.063724,121.280715,48.12,2025,12,15,5,55,48,400,1
665.839,25.063724,121.280715,48.10,2025,12,15,5,55,48,400,1
669.919,25.063724,121.280715,48.00,2025,12,15,5,56,3,800,3
672.979,25.063724,121.280715,47.89,2025,12,15,5,56,3,800,1
674.000,25.063724,121.280715,47.86,2025,12,15,5,56,3,800,1
677.059,25.063724,121.280716,47.77,2025,12,15,5,56,3,800,1
680.109,25.063724,121.280716,47.68,2025,12,15,5,56,14,200,1
683.159,25.063723,121.280716,47.60,2025,12,15,5,56,14,200,3
686.210,25.063723,121.280716,47.41,2025,12,15,5,56,14,200,1
689.271,25.063724,121.280716,47.41,2025,12,15,5,56,14,200,1
690.299,25.063724,121.280716,47.39,2000,0,0,5,56,24,800,3
693.359,25.063724,121.280716,47.32,2000,0,0,5,56,24,800,3
694.379,25.063724,121.280716,47.32,2000,0,0,5,56,24,800,3
697.430,25.063724,121.280715,47.34,2000,0,0,5,56,24,800,3
700.489,25.063725,121.280715,47.36,2000,0,0,5,56,35,600,3
703.549,25.063726,121.280714,47.35,2000,12,15,5,56,37,800,1
706.599,25.063725,121.280715,47.25,2025,12,15,5,56,41,600,1
707.619,25.063725,121.280715,47.16,2025,12,15,5,56,41,600,1
709.649,25.063725,121.280715,47.08,2025,12,15,5,56,41,600,1
712.699,25.063725,121.280715,47.01,2025,12,15,5,56,41,600,1
713.719,25.063725,0.000000,0.00,2025,12,15,5,56,48,600,3
716.769,25.063726,121.280715,47.02,2025,12,15,5,56,48,600,1
719.829,25.063726,121.280714,47.03,2002,12,15,5,56,53,600,1
722.880,25.063727,121.280714,47.02,2002,12,15,5,56,53,600,3
723.909,25.063727,121.280714,47.01,2002,12,15,5,56,53,600,3
725.939,25.063727,121.280714,47.00,2025,12,15,5,56,59,600,1
726.959,25.063727,121.280714,47.00,2025,12,15,5,56,59,600,1
728.990,25.063727,121.280714,47.00,2025,12,15,5,56,59,600,1
730.010,25.063727,121.280714,46.92,2025,12,15,5,57,4,600,1
733.069,25.063726,121.280715,0.00,2025,12,15,5,57,5,600,1
736.131,25.063725,121.280715,46.62,2025,12,15,5,57,5,600,3
737.149,25.063724,121.280715,46.65,2025,12,15,5,57,5,600,1
740.209,25.063724,121.280715,46.67,2025,12,15,5,57,5,600,1
743.259,0.000000,0.000000,0.00,2025,12,15,5,57,16,600,3
746.319,25.063724,121.280715,46.65,2025,12,15,5,57,16,600,1
747.339,25.063724,1212.010167,46.65,2025,12,15,5,57,16,600,3
749.370,25.063724,121.280715,46.60,2025,12,15,5,57,16,600,1
750.389,25.063724,121.280715,46.65,2025,12,15,5,57,16,600,1
753.449,25.063725,121.280715,46.00,2025,12,15,5,57,16,600,1
756.499,25.063726,121.280715,46.58,2025,12,15,5,57,16,600,1
759.559,25.063725,121.280715,46.61,2025,12,15,5,57,33,600,1
760.579,25.063725,121.280715,46.61,2025,12,15,5,57,33,600,1
763.639,25.063725,121.280715,46.68,2025,12,15,5,57,38,600,1
766.699,25.063725,121.280715,46.73,2025,12,15,5,57,38,600,1
767.720,25.063726,121.280715,46.76,2025,12,15,5,57,38,600,1
769.750,25.063725,121.280715,46.79,2025,12,15,5,57,38,600,1
770.770,25.063725,121.280715,46.81,2025,12,15,5,57,38,600,1
773.819,25.063725,121.280715,46.84,2025,12,15,5,57,38,600,1
776.879,25.063725,121.280715,46.93,2025,12,15,75,0,80,0,3
780.969,25.063726,121.280713,0.00,2025,12,15,75,0,80,0,3
784.019,25.063726,121.280715,0.00,2025,12,15,75,0,80,0,3
787.079,25.063725,121.280716,46.84,2025,12,15,5,57,59,400,1
790.129,25.063723,121.280716,46.81,2025,12,15,5,57,59,400,3
791.149,25.063722,121.280667,0.00,2025,12,15,5,57,59,400,2
794.199,25.063720,121.280717,46.80,2025,12,15,5,57,59,400,1
797.269,25.063717,121.280717,46.81,2025,12,15,5,58,10,800,1
800.319,25.063715,121.280717,46.81,2025,12,15,5,58,10,800,1
801.339,25.063713,121.280717,46.88,2025,12,15,5,58,10,800,1
804.399,25.063713,121.280717,46.88,2025,12,15,5,58,10,800,1
807.451,25.063713,121.280718,4.00,2025,12,15,5,58,10,800,1
808.479,25.063713,121.280718,46.77,2025,12,15,5,58,10,800,1
811.540,25.063713,121.280718,46.70,2000,12,15,5,58,26,600,1
814.600,25.063714,121.280718,46.68,2000,12,15,5,58,26,600,1
817.649,25.063714,121.280718,46.68,2025,12,15,5,58,32,800,1
818.669,25.063714,121.280718,46.68,2025,12,15,5,58,32,800,3
820.699,25.063714,121.280719,46.56,2025,12,15,5,58,32,800,1
824.780,25.063715,121.280719,46.53,2002,12,15,5,58,39,800,1
#2025/12/15 13:59:19
