#2025/08/25 17:51:33
time,wx, wy, wz, ax, ay, az, Tx, Ty, Tz, TAcc
2.013,0.00066,0.00576,0.00187,0.02664,-0.02215,0.96962,38.069,38.153,37.112,39.028
2.023,0.00075,0.00567,0.00200,0.02738,-0.02543,0.96880,38.069,38.153,37.112,39.360
2.033,0.00061,0.00564,0.00191,0.02999,-0.02418,0.96455,38.069,38.114,37.112,39.139
2.043,0.00088,0.00569,0.00165,0.02730,-0.02621,0.96724,38.069,38.114,37.112,39.139
2.053,0.00066,0.00564,0.00138,0.02629,-0.02601,0.96498,38.069,38.114,37.112,39.139
2.063,0.00066,0.00551,0.00124,0.02882,-0.02792,0.96868,38.069,38.114,37.112,39.249
2.073,0.00066,0.00542,0.00120,0.02808,-0.02948,0.96599,38.069,38.114,37.112,39.028
2.083,0.00061,0.00524,0.00120,0.02987,-0.02660,0.96716,38.069,38.114,37.112,39.470
2.093,0.00057,0.00498,0.00115,0.02523,-0.02621,0.96841,38.069,38.114,37.112,39.470
2.103,0.00043,0.00489,0.00124,0.02356,-0.02465,0.96607,38.069,38.114,37.112,39.249
2.113,0.00017,0.00502,0.00147,0.02874,-0.02999,0.96895,38.069,38.114,37.112,39.249
2.123,0.00003,0.00533,0.00178,0.02445,-0.02956,0.96919,38.069,38.114,37.112,39.360
2.133,0.00012,0.00569,0.00209,0.02426,-0.02999,0.96673,38.068,38.114,37.112,39.360
2.143,0.00012,0.00591,0.00227,0.02476,-0.02434,0.96642,38.068,38.114,37.112,39.139
2.153,0.00003,0.00600,0.00236,0.02851,-0.03065,0.96997,38.068,38.114,37.112,39.249
2.163,-0.00010,0.00587,0.00241,0.03077,-0.02710,0.96580,38.068,38.114,37.112,39.139
2.173,-0.00019,0.00573,0.00232,0.02812,-0.02952,0.96630,38.068,38.114,37.112,39.028
2.183,-0.00010,0.00569,0.00205,0.02796,-0.02492,0.96966,38.068,38.114,37.122,39.360
2.193,-0.00010,0.00569,0.00178,0.02777,-0.02535,0.97149,38.068,38.114,37.122,39.249
2.203,-0.00001,0.00573,0.00160,0.02675,-0.02987,0.96759,38.068,38.114,37.122,39.360
2.213,0.00012,0.00582,0.00165,0.02621,-0.02609,0.97032,38.068,38.114,37.122,39.360
2.223,0.00026,0.00591,0.00160,0.02410,-0.02504,0.96673,38.068,38.114,37.122,39.249
2.233,0.00057,0.00574,0.00147,0.02605,-0.02796,0.96907,38.068,38.103,37.122,39.139
2.243,0.00084,0.00547,0.00138,0.02734,-0.02660,0.96704,38.068,38.103,37.122,39.139
2.253,0.00110,0.00520,0.00147,0.02847,-0.02835,0.96899,38.068,38.103,37.122,39.360
2.263,0.00101,0.00498,0.00156,0.02184,-0.02800,0.96771,38.068,38.103,37.122,39.249
2.273,0.00110,0.00493,0.00165,0.02644,-0.02839,0.96876,38.068,38.103,37.122,39.360
2.283,0.00115,0.00493,0.00182,0.02593,-0.02691,0.96720,38.068,38.103,37.122,39.360
2.293,0.00110,0.00511,0.00200,0.02703,-0.02800,0.96740,38.068,38.103,37.122,39.249
2.303,0.00093,0.00529,0.00209,0.02582,-0.02753,0.97141,38.068,38.103,37.122,39.139
2.313,0.00093,0.00547,0.00218,0.02710,-0.02613,0.96927,38.068,38.103,37.122,39.470
2.323,0.00075,0.00551,0.00214,0.02188,-0.02558,0.96833,38.068,38.103,37.122,39.470
2.333,0.00026,0.00556,0.00196,0.02995,-0.02168,0.97071,38.076,38.103,37.122,39.139
2.343,0.00012,0.00565,0.00160,0.02898,-0.02722,0.96704,38.076,38.103,37.122,39.139
2.353,0.00012,0.00569,0.00146,0.02644,-0.02410,0.97133,38.076,38.103,37.122,39.249
2.363,0.00012,0.00583,0.00151,0.02554,-0.02909,0.96775,38.076,38.103,37.122,39.360
2.373,0.00021,0.00596,0.00164,0.02473,-0.03093,0.96895,38.076,38.103,37.122,39.360
2.383,0.00039,0.00605,0.00173,0.03202,-0.02726,0.96892,38.076,38.103,37.134,39.249
2.393,0.00026,0.00618,0.00178,0.02898,-0.02601,0.96689,38.076,38.103,37.134,39.470
2.403,0.00030,0.00632,0.00182,0.02523,-0.02516,0.96845,38.076,38.103,37.134,39.249
2.413,0.00021,0.00649,0.00182,0.02882,-0.02469,0.96829,38.076,38.103,37.134,39.139
2.423,0.00030,0.00654,0.00191,0.02453,-0.02582,0.96716,38.076,38.103,37.134,39.360
2.433,0.00030,0.00644,0.00200,0.03214,-0.02863,0.96720,38.076,38.127,37.134,39.249
2.443,0.00013,0.00626,0.00204,0.02722,-0.02356,0.97075,38.076,38.127,37.134,39.139
2.453,0.00017,0.00631,0.00209,0.02707,-0.02278,0.96642,38.076,38.127,37.134,39.249
2.463,0.00030,0.00640,0.00213,0.02976,-0.02566,0.96548,38.076,38.127,37.134,39.360
2.473,0.00030,0.00653,0.00222,0.02262,-0.02434,0.96193,38.076,38.127,37.134,39.139
2.483,0.00044,0.00680,0.00222,0.02703,-0.02383,0.97063,38.076,38.127,37.134,39.360
2.493,0.00030,0.00711,0.00227,0.02437,-0.02387,0.96931,38.076,38.127,37.134,39.360
2.503,0.00035,0.00720,0.00231,0.03175,-0.02484,0.96919,38.076,38.127,37.134,39.360
2.513,0.00021,0.00689,0.00236,0.02344,-0.02781,0.96892,38.076,38.127,37.134,39.249
2.573,0.00066,0.00564,0.00205,0.02539,-0.02859,0.96646,38.071,38.127,37.134,39.360
2.583,0.00038,0.00546,0.00209,0.03268,-0.02375,0.97106,38.071,38.127,37.052,39.360
2.593,0.00029,0.00533,0.00205,0.02812,-0.02722,0.96607,38.071,38.127,37.052,39.139
2.603,0.00033,0.00519,0.00187,0.02691,-0.02457,0.96919,38.071,38.127,37.052,39.139
2.613,0.00007,0.00502,0.00173,0.02796,-0.03175,0.96903,38.071,38.127,37.052,39.470
2.623,-0.00011,0.00493,0.00160,0.02617,-0.02340,0.96498,38.071,38.127,37.052,39.249
2.633,-0.00011,0.00498,0.00151,0.02781,-0.02473,0.96712,38.071,38.097,37.052,39.139
2.643,-0.00007,0.00534,0.00142,0.03046,-0.02695,0.96825,38.071,38.097,37.052,39.470
2.653,-0.00025,0.00556,0.00147,0.02231,-0.02738,0.96681,38.071,38.097,37.052,39.360
2.663,-0.00020,0.00569,0.00169,0.02535,-0.02882,0.96658,38.071,38.097,37.052,39.249
2.673,-0.00020,0.00583,0.00191,0.02617,-0.02629,0.96794,38.071,38.097,37.052,39.139
2.683,0.00020,0.00578,0.00218,0.02913,-0.02831,0.96899,38.071,38.097,37.052,39.470
2.693,0.00047,0.00569,0.00227,0.02987,-0.02621,0.96884,38.071,38.097,37.052,39.360
2.703,0.00051,0.00565,0.00232,0.02383,-0.02925,0.96782,38.071,38.097,37.052,39.249
2.713,0.00051,0.00565,0.00236,0.03054,-0.02379,0.97040,38.071,38.097,37.052,39.249
2.723,0.00051,0.00547,0.00240,0.02863,-0.02570,0.96338,38.071,38.097,37.052,39.139
2.733,0.00020,0.00529,0.00245,0.02590,-0.02746,0.96884,38.071,38.097,37.052,39.249
