#2025/09/05 10:51:25
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,TAcc,pitch,roll,yaw
1.313,-0.02200,-0.05211,0.99258,9.75148,0.11654,-0.16535,42.866,42.323,41.338,49.636,0.25018,-70.08983,-8.71249
1.323,-0.02182,-0.05237,0.99545,9.84505,0.14295,-0.16548,42.866,42.323,41.338,49.747,0.24716,-70.31690,-8.70930
1.333,-0.02169,-0.05273,0.99911,9.83784,0.11120,-0.10865,42.866,42.333,41.338,49.747,0.24213,-70.53793,-8.70614
1.343,-0.02160,-0.05286,1.00090,9.85085,0.11639,-0.09254,42.866,42.333,41.338,49.636,0.23744,-70.75554,-8.70301
1.353,-0.02178,-0.05282,1.00086,9.78558,0.12019,-0.10732,42.866,42.333,41.338,49.747,0.23308,-70.97176,-8.69992
1.363,-0.02196,-0.05260,0.99902,9.75443,0.14892,-0.13213,42.866,42.333,41.338,49.526,0.23063,-71.18724,-8.69687
1.373,-0.02227,-0.05255,0.99536,9.81972,0.15348,-0.14233,42.866,42.333,41.338,49.857,0.22845,-71.40096,-8.69387
1.383,-0.02250,-0.05220,0.99232,9.74846,0.12405,-0.20400,42.866,42.333,41.338,49.636,0.22451,-71.61634,-8.69092
1.393,-0.02263,-0.05179,0.99156,9.83441,0.14155,-0.20412,42.866,42.333,41.338,49.747,0.22164,-71.82928,-8.68801
1.403,-0.02259,-0.05139,0.99330,9.81024,0.13011,-0.21261,42.866,42.333,41.338,49.747,0.21808,-72.04047,-8.68512
1.413,-0.02241,-0.05090,0.99433,9.78650,0.11666,-0.13343,42.866,42.333,41.338,49.636,0.21370,-72.24438,-8.68227
1.423,-0.02241,-0.05050,0.99285,9.82008,0.18346,-0.12881,42.866,42.333,41.338,49.636,0.21357,-72.44576,-8.67946
1.433,-0.02236,-0.05019,0.99053,9.78777,0.11583,-0.15795,42.868,42.333,41.338,49.415,0.20920,-72.64682,-8.67668
1.443,-0.02241,-0.04988,0.98923,9.73016,0.16068,-0.08928,42.868,42.333,41.338,49.747,0.20779,-72.84138,-8.67395
1.453,-0.02267,-0.04970,0.98834,9.80176,0.08589,-0.09259,42.868,42.333,41.338,49.636,0.20158,-73.03400,-8.67125
1.463,-0.02308,-0.04970,0.98905,9.80103,0.10523,-0.15864,42.868,42.333,41.338,49.636,0.19664,-73.22869,-8.66858
1.473,-0.02335,-0.04983,0.99111,9.77805,0.12945,-0.18178,42.868,42.333,41.338,49.636,0.19328,-73.42277,-8.66595
1.483,-0.02330,-0.04992,0.99187,9.81445,0.10015,-0.11875,42.868,42.333,41.349,49.636,0.18806,-73.61072,-8.66334
1.493,-0.02312,-0.04997,0.99236,9.78470,0.08421,-0.07457,42.868,42.333,41.349,49.415,0.18189,-73.79386,-8.66076
1.503,-0.02285,-0.04997,0.99303,9.76028,0.17054,-0.11292,42.868,42.333,41.349,49.747,0.18128,-73.97745,-8.65821
1.513,-0.02263,-0.05006,0.99196,9.78451,0.15920,-0.14613,42.868,42.333,41.349,49.636,0.17994,-74.16113,-8.65569
1.523,-0.02241,-0.05019,0.99084,9.79897,0.15612,-0.08413,42.868,42.333,41.349,49.526,0.17840,-74.33890,-8.65320
1.533,-0.02227,-0.05032,0.98995,9.73420,0.13139,-0.14097,42.868,42.349,41.349,49.747,0.17537,-74.51838,-8.65074
1.543,-0.02232,-0.05059,0.99093,9.81660,0.10829,-0.10149,42.868,42.349,41.349,49.747,0.17082,-74.69335,-8.64831
1.553,-0.02245,-0.05055,0.99254,9.73475,0.14678,-0.12980,42.868,42.349,41.349,49.747,0.16881,-74.86829,-8.64591
1.563,-0.02272,-0.05055,0.99272,9.79700,0.15392,-0.16132,42.868,42.349,41.349,49.747,0.16721,-75.04326,-8.64353
1.573,-0.02285,-0.05050,0.99191,9.78517,0.15328,-0.19635,42.868,42.349,41.349,49.747,0.16559,-75.21857,-8.64119
1.583,-0.02276,-0.05037,0.99057,9.83022,0.06936,-0.19933,42.868,42.349,41.349,49.747,0.15865,-75.39211,-8.63889
1.593,-0.02254,-0.05006,0.98834,9.77287,0.12039,-0.11863,42.868,42.349,41.349,49.636,0.15507,-75.55870,-8.63661
1.603,-0.02236,-0.04979,0.98588,9.73305,0.06688,-0.14667,42.868,42.349,41.349,49.636,0.14816,-75.72530,-8.63437
1.613,-0.02236,-0.04961,0.98619,9.77124,0.10835,-0.15637,42.868,42.349,41.349,49.636,0.14394,-75.89068,-8.63215
1.623,-0.02236,-0.04961,0.98722,9.79496,0.11907,-0.13180,42.868,42.349,41.349,49.747,0.14041,-76.05268,-8.62996
1.633,-0.02250,-0.04957,0.98664,9.77319,0.11741,-0.09449,42.872,42.349,41.349,49.747,0.13683,-76.21057,-8.62780
1.643,-0.02272,-0.04961,0.98704,9.78081,0.12898,-0.10136,42.872,42.349,41.349,49.636,0.13401,-76.36719,-8.62567
1.653,-0.02299,-0.04970,0.98717,9.85889,0.10559,-0.13748,42.872,42.349,41.349,49.636,0.12967,-76.52431,-8.62357
1.663,-0.02317,-0.04988,0.98686,9.80403,0.09964,-0.11919,42.872,42.349,41.349,49.747,0.12503,-76.67863,-8.62150
1.673,-0.02326,-0.04997,0.98717,9.78780,0.13664,-0.13192,42.872,42.349,41.349,49.747,0.12280,-76.83210,-8.61945
1.683,-0.02321,-0.05006,0.98883,9.79037,0.12211,-0.24160,42.872,42.349,41.347,49.747,0.11964,-76.99085,-8.61742
1.693,-0.02303,-0.05006,0.99178,9.75110,0.14535,-0.15585,42.872,42.349,41.347,49.636,0.11800,-77.14249,-8.61541
1.703,-0.02299,-0.05032,0.99258,9.70909,0.15003,-0.10138,42.872,42.349,41.347,49.636,0.11671,-77.28903,-8.61343
1.713,-0.02290,-0.05064,0.99218,9.78353,0.11273,-0.15192,42.872,42.349,41.347,49.636,0.11298,-77.43716,-8.61147
1.723,-0.02290,-0.05095,0.99173,9.80963,0.10297,-0.17588,42.872,42.349,41.347,49.636,0.10866,-77.58516,-8.60954
1.733,-0.02312,-0.05113,0.99106,9.79551,0.12496,-0.09403,42.872,42.318,41.347,49.747,0.10578,-77.72639,-8.60763
1.743,-0.02317,-0.05139,0.98986,9.83096,0.07122,-0.10405,42.872,42.318,41.347,49.526,0.09952,-77.86671,-8.60575
1.753,-0.02303,-0.05148,0.99062,9.81020,0.10314,-0.12803,42.872,42.318,41.347,49.415,0.09535,-78.00703,-8.60390
1.763,-0.02285,-0.05148,0.99303,9.79520,0.10824,-0.15828,42.872,42.318,41.347,49.747,0.09153,-78.14776,-8.60206
1.773,-0.02267,-0.05166,0.99442,9.76264,0.13107,-0.10466,42.872,42.318,41.347,49.636,0.08921,-78.28359,-8.60024
1.783,-0.02254,-0.05184,0.99343,9.76052,0.13766,-0.07777,42.872,42.318,41.347,49.526,0.08735,-78.41624,-8.59844
1.793,-0.02263,-0.05179,0.99236,9.82135,0.11434,-0.14533,42.872,42.318,41.347,49.747,0.08397,-78.55169,-8.59667
1.803,-0.02254,-0.05153,0.99169,9.79685,0.10210,-0.16467,42.872,42.318,41.347,49.747,0.07988,-78.68690,-8.59492
1.813,-0.02263,-0.05135,0.99147,9.81781,0.12423,-0.15866,42.872,42.318,41.347,49.636,0.07722,-78.82026,-8.59320
1.823,-0.02281,-0.05144,0.99263,9.81405,0.11536,-0.15863,42.872,42.318,41.347,49.415,0.07402,-78.95216,-8.59150
1.833,-0.02303,-0.05139,0.99545,9.77696,0.13388,-0.11748,42.874,42.318,41.347,49.636,0.07202,-79.08007,-8.58982
1.843,-0.02317,-0.05117,0.99782,9.79575,0.09025,-0.14652,42.874,42.318,41.347,49.636,0.06723,-79.20840,-8.58815
1.853,-0.02317,-0.05072,0.99759,9.81216,0.16428,-0.21398,42.874,42.318,41.347,49.636,0.06717,-79.33958,-8.58652
