#2025/08/25 18:31:47
time,wx, wy, wz, ax, ay, az, Tx, Ty, Tz, TAcc
1.553,-103.97417,-70.11365,-66.16953,0.26041,0.50324,9.33124,-265.842,-265.956,-265.724,51.736
1.563,-103.97585,-70.11371,-66.16957,0.22203,0.47264,9.36708,-265.842,-265.956,-265.724,51.625
1.573,-103.97755,-70.11377,-66.16962,0.28045,0.49826,9.39844,-265.842,-265.956,-265.724,51.846
1.583,-103.97929,-70.11385,-66.16965,0.24684,0.50132,9.37666,-265.842,-265.956,-265.724,51.736
1.593,-103.98106,-70.11392,-66.16969,0.27863,0.48824,9.39044,-265.842,-265.956,-265.724,51.736
1.603,-103.98286,-70.11400,-66.16972,0.24802,0.50468,9.34127,-265.842,-265.957,-265.724,51.846
1.613,-103.98466,-70.11407,-66.16976,0.26688,0.50499,9.38271,-265.842,-265.957,-265.724,51.846
1.623,-103.98645,-70.11415,-66.16980,0.26625,0.49078,9.38237,-265.842,-265.957,-265.724,51.957
1.633,-103.98821,-70.11422,-66.16985,0.26467,0.49686,9.36786,-265.842,-265.957,-265.724,51.846
1.643,-103.98992,-70.11430,-66.16991,0.23497,0.48745,9.39840,-265.842,-265.957,-265.724,51.736
1.653,-103.99158,-70.11436,-66.16999,0.25138,0.47446,9.36351,-265.842,-265.957,-265.724,51.846
1.663,-103.99322,-70.11441,-66.17005,0.23564,0.49706,9.40238,-265.842,-265.957,-265.724,51.736
1.673,-103.99480,-70.11446,-66.17012,0.28013,0.53312,9.37698,-265.842,-265.957,-265.724,51.846
1.683,-103.99634,-70.11452,-66.17020,0.22908,0.49734,9.39071,-265.842,-265.957,-265.724,51.736
1.693,-103.99788,-70.11455,-66.17030,0.27532,0.51272,9.37264,-265.842,-265.957,-265.724,51.736
1.703,-103.99941,-70.11458,-66.17042,0.22558,0.50377,9.36856,-265.842,-265.957,-265.724,51.736
1.713,-104.00092,-70.11462,-66.17057,0.27264,0.51152,9.36420,-265.840,-265.957,-265.724,51.625
1.723,-104.00237,-70.11462,-66.17075,0.25326,0.51370,9.38988,-265.840,-265.957,-265.724,51.846
1.733,-104.00378,-70.11462,-66.17092,0.27778,0.46167,9.36442,-265.840,-265.957,-265.724,51.515
1.743,-104.00513,-70.11462,-66.17112,0.22447,0.49913,9.36175,-265.840,-265.957,-265.724,51.736
1.753,-104.00643,-70.11462,-66.17132,0.25782,0.52556,9.36129,-265.840,-265.957,-265.724,51.625
1.763,-104.00772,-70.11463,-66.17153,0.24983,0.47069,9.39287,-265.840,-265.957,-265.724,51.515
1.773,-104.00900,-70.11463,-66.17174,0.24300,0.49445,9.40160,-265.840,-265.957,-265.724,51.846
1.783,-104.01027,-70.11464,-66.17197,0.25358,0.47960,9.40611,-265.840,-265.957,-265.724,51.736
1.793,-104.01150,-70.11465,-66.17220,0.24521,0.51652,9.33236,-265.840,-265.957,-265.724,51.846
1.803,-104.01270,-70.11465,-66.17243,0.23030,0.49724,9.35212,-265.840,-265.957,-265.724,51.736
1.813,-104.01388,-70.11465,-66.17267,0.22359,0.50535,9.38946,-265.840,-265.956,-265.724,51.736
1.823,-104.01502,-70.11465,-66.17289,0.21923,0.44383,9.36760,-265.840,-265.956,-265.724,51.515
1.833,-104.01607,-70.11466,-66.17309,0.26315,0.49152,9.38276,-265.840,-265.956,-265.724,51.736
1.843,-104.01709,-70.11466,-66.17326,0.23779,0.47408,9.41173,-265.840,-265.956,-265.724,51.736
1.853,-104.01809,-70.11467,-66.17342,0.28093,0.48981,9.39245,-265.840,-265.956,-265.724,51.846
1.863,-104.01907,-70.11467,-66.17357,0.26690,0.46997,9.35070,-265.840,-265.956,-265.724,51.846
1.873,-104.02001,-70.11466,-66.17371,0.27971,0.42219,9.37465,-265.840,-265.956,-265.724,51.736
1.883,-104.02094,-70.11466,-66.17384,0.25285,0.47763,9.39124,-265.840,-265.956,-265.724,51.736
1.893,-104.02187,-70.11466,-66.17394,0.22280,0.47454,9.35944,-265.840,-265.956,-265.724,51.515
1.903,-104.02274,-70.11465,-66.17402,0.24553,0.47451,9.39968,-265.840,-265.956,-265.724,51.846
1.913,-104.02361,-70.11465,-66.17410,0.26759,0.50926,9.39757,-265.842,-265.956,-265.724,51.846
1.923,-104.02447,-70.11465,-66.17415,0.26823,0.48545,9.38883,-265.842,-265.956,-265.724,51.736
1.933,-104.02530,-70.11465,-66.17420,0.28642,0.48632,9.36514,-265.842,-265.956,-265.724,51.736
1.943,-104.02614,-70.11464,-66.17424,0.25291,0.51514,9.35771,-265.842,-265.956,-265.724,51.846
1.953,-104.02695,-70.11464,-66.17428,0.24462,0.52593,9.40107,-265.842,-265.956,-265.724,51.736
1.963,-104.02782,-70.11464,-66.17431,0.23398,0.47206,9.38842,-265.842,-265.956,-265.724,51.515
1.973,-104.02871,-70.11465,-66.17435,0.27998,0.50481,9.40847,-265.842,-265.956,-265.724,51.846
1.983,-104.02964,-70.11465,-66.17438,0.24683,0.49869,9.39677,-265.842,-265.956,-265.724,51.736
1.993,-104.03058,-70.11465,-66.17440,0.25811,0.46028,9.34992,-265.842,-265.956,-265.724,51.625
2.003,-104.03159,-70.11465,-66.17443,0.27594,0.44945,9.38859,-265.842,-265.956,-265.724,51.846
2.013,-104.03262,-70.11466,-66.17445,0.26392,0.45467,9.37729,-265.842,-265.955,-265.724,51.625
2.023,-104.03368,-70.11466,-66.17448,0.23628,0.47965,9.35220,-265.842,-265.955,-265.724,51.625
2.033,-104.03476,-70.11467,-66.17451,0.21507,0.51058,9.37213,-265.842,-265.955,-265.724,51.625
2.043,-104.03589,-70.11467,-66.17455,0.24325,0.50865,9.40195,-265.842,-265.955,-265.724,51.736
2.053,-104.03705,-70.11467,-66.17459,0.25901,0.47923,9.39487,-265.842,-265.955,-265.724,51.736
2.063,-104.03827,-70.11468,-66.17464,0.30116,0.52022,9.35457,-265.842,-265.955,-265.724,51.515
2.073,-104.03954,-70.11468,-66.17468,0.24620,0.51949,9.42161,-265.842,-265.955,-265.724,51.736
2.083,-104.04090,-70.11468,-66.17474,0.25201,0.48527,9.38437,-265.842,-265.955,-265.724,51.736
2.093,-104.04230,-70.11468,-66.17480,0.29277,0.50524,9.37954,-265.842,-265.955,-265.724,51.736
2.103,-104.04378,-70.11468,-66.17484,0.27225,0.51000,9.37305,-265.842,-265.955,-265.724,51.846
2.113,-104.04532,-70.11468,-66.17490,0.21874,0.49067,9.37464,-265.841,-265.955,-265.724,51.625
2.123,-104.04691,-70.11469,-66.17494,0.24371,0.46711,9.37197,-265.841,-265.955,-265.724,51.846
2.133,-104.04852,-70.11469,-66.17499,0.29632,0.45659,9.40066,-265.841,-265.955,-265.724,51.736
2.143,-104.05016,-70.11471,-66.17504,0.22728,0.49218,9.33967,-265.841,-265.955,-265.724,51.625
2.153,-104.05187,-70.11473,-66.17509,0.29786,0.42164,9.38554,-265.841,-265.955,-265.724,51.846
2.163,-104.05363,-70.11478,-66.17512,0.28104,0.48170,9.37640,-265.841,-265.955,-265.724,51.625
2.173,-104.05545,-70.11483,-66.17516,0.23902,0.51308,9.35649,-265.841,-265.955,-265.724,51.736
2.183,-104.05734,-70.11489,-66.17518,0.25772,0.45464,9.39055,-265.841,-265.955,-265.724,51.736
2.193,-104.05925,-70.11497,-66.17520,0.23818,0.44059,9.37650,-265.841,-265.955,-265.724,51.736
2.203,-104.06117,-70.11506,-66.17521,0.24879,0.53214,9.41030,-265.841,-265.955,-265.724,51.736
2.213,-104.06311,-70.11514,-66.17522,0.24727,0.49633,9.37628,-265.841,-265.958,-265.724,51.515
2.223,-104.06504,-70.11523,-66.17522,0.24685,0.50468,9.34649,-265.841,-265.958,-265.724,51.846
2.233,-104.06697,-70.11533,-66.17524,0.22917,0.49304,9.36178,-265.841,-265.958,-265.724,51.625
2.243,-104.06889,-70.11543,-66.17525,0.26133,0.52101,9.36816,-265.841,-265.958,-265.724,51.846
2.253,-104.07083,-70.11553,-66.17526,0.27164,0.53489,9.35364,-265.841,-265.958,-265.724,51.846
2.263,-104.07276,-70.11565,-66.17526,0.23629,0.46908,9.41256,-265.841,-265.958,-265.724,51.515
2.273,-104.07469,-70.11580,-66.17526,0.27026,0.43976,9.37576,-265.841,-265.958,-265.724,51.515
2.283,-104.07658,-70.11594,-66.17527,0.23468,0.48085,9.37511,-265.841,-265.958,-265.724,51.736
2.293,-104.07846,-70.11607,-66.17528,0.22426,0.47697,9.39722,-265.841,-265.958,-265.724,51.846
2.303,-104.08038,-70.11618,-66.17528,0.25511,0.48340,9.39122,-265.841,-265.958,-265.724,51.846
2.313,-104.08225,-70.11629,-66.17528,0.21063,0.49173,9.37060,-265.842,-265.958,-265.724,51.736
2.323,-104.08413,-70.11639,-66.17530,0.24365,0.50861,9.38828,-265.842,-265.958,-265.724,51.515
2.333,-104.08600,-70.11649,-66.17530,0.25591,0.52173,9.36975,-265.842,-265.958,-265.724,51.846
2.343,-104.08784,-70.11656,-66.17532,0.28477,0.46055,9.35077,-265.842,-265.958,-265.724,51.736
2.353,-104.08968,-70.11665,-66.17532,0.20478,0.53277,9.38167,-265.842,-265.958,-265.724,51.515
2.363,-104.09148,-70.11674,-66.17533,0.26877,0.47913,9.32895,-265.842,-265.958,-265.725,51.846
2.373,-104.09324,-70.11681,-66.17534,0.30649,0.52380,9.38150,-265.842,-265.958,-265.725,51.736
2.383,-104.09497,-70.11687,-66.17535,0.22192,0.51987,9.37613,-265.842,-265.958,-265.725,51.846
