#2026/01/22 11:08:21
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
1.138,0.04000,0.00000,-0.16000,-0.06876,0.00772,-9.85760,40.798,40.798,40.798,35.039,-0.00296,0.00934,-0.04853
1.148,-0.03000,-0.00000,-0.12500,-0.06388,-0.00204,-9.85760,40.798,40.798,40.798,35.039,0.00406,-0.01203,-0.04884
1.158,0.04000,0.00000,-0.09000,-0.06388,0.01260,-9.84784,40.798,40.798,40.798,35.039,-0.00282,0.00884,-0.04934
1.168,0.07500,0.14000,-0.23000,-0.07364,-0.00204,-9.86736,40.797,40.797,40.797,35.047,0.00415,-0.01232,-0.05003
1.178,-0.06500,-0.00000,-0.02000,-0.05412,0.01260,-9.85272,40.797,40.797,40.797,35.047,-0.00273,0.00886,-0.05095
1.188,0.04000,0.03500,-0.09000,-0.06388,0.02236,-9.84784,40.797,40.797,40.797,35.039,0.00416,-0.01215,-0.05190
1.198,-0.03000,0.03500,-0.05500,-0.05412,0.02724,-9.85760,40.797,40.797,40.797,35.035,-0.00272,0.00897,-0.05262
1.208,0.21500,0.00000,-0.16000,-0.05412,0.02724,-9.85272,40.797,40.797,40.797,35.035,0.00420,-0.01204,-0.05323
1.218,-0.06500,-0.03500,-0.09000,-0.04924,0.01260,-9.84784,40.797,40.797,40.797,35.043,-0.00284,0.00921,-0.05381
1.228,0.00500,0.10500,-0.05500,-0.04924,0.00284,-9.83808,40.797,40.797,40.797,35.043,0.00397,-0.01174,-0.05424
1.238,0.04000,0.07000,-0.05500,-0.04924,0.00772,-9.86248,40.797,40.797,40.797,35.035,-0.00291,0.00955,-0.05456
1.248,-0.03000,0.10500,-0.12500,-0.05900,0.01260,-9.85272,40.797,40.797,40.797,35.035,0.00398,-0.01138,-0.05495
1.258,-0.06500,-0.07000,-0.02000,-0.04924,0.01748,-9.84296,40.797,40.797,40.797,35.023,-0.00297,0.00977,-0.05537
1.268,0.00500,-0.03500,-0.05500,-0.06388,0.00772,-9.86248,40.797,40.797,40.797,35.023,0.00391,-0.01154,-0.05570
1.278,0.11000,-0.03500,-0.02000,-0.06876,0.00772,-9.85272,40.797,40.797,40.797,35.066,-0.00298,0.00945,-0.05596
1.288,-0.03000,-0.00000,-0.09000,-0.06388,-0.00204,-9.83808,40.797,40.797,40.797,35.035,0.00383,-0.01171,-0.05621
1.298,0.14500,0.03500,0.01500,-0.07364,0.01260,-9.83808,40.797,40.797,40.797,35.035,-0.00317,0.00957,-0.05639
1.308,-0.13500,0.03500,-0.05500,-0.06388,0.00284,-9.86736,40.797,40.797,40.797,35.059,0.00367,-0.01129,-0.05646
1.318,0.07500,-0.07000,-0.12500,-0.05900,0.00284,-9.85272,40.797,40.797,40.797,35.059,-0.00327,0.01012,-0.05652
1.328,-0.03000,0.14000,-0.12500,-0.06388,0.01260,-9.85272,40.797,40.797,40.797,35.047,0.00360,-0.01077,-0.05677
1.338,0.00500,0.07000,-0.05500,-0.04436,0.00284,-9.85272,40.797,40.797,40.797,35.047,-0.00324,0.01050,-0.05721
1.348,-0.17000,0.03500,-0.16000,-0.03460,0.02724,-9.85272,40.797,40.797,40.797,35.004,0.00370,-0.01079,-0.05779
1.358,-0.06500,0.07000,-0.02000,-0.04924,0.02724,-9.84784,40.797,40.797,40.797,35.004,-0.00308,0.00993,-0.05852
1.368,0.00500,0.17500,-0.02000,-0.04924,0.01748,-9.85760,40.797,40.797,40.797,35.039,0.00411,-0.01171,-0.05928
1.378,0.04000,0.03500,-0.12500,-0.04924,0.01748,-9.84784,40.797,40.797,40.797,35.043,-0.00250,0.00883,-0.05991
1.388,0.00500,0.14000,-0.09000,-0.04924,0.00284,-9.84784,40.797,40.797,40.797,35.043,0.00455,-0.01291,-0.06048
1.398,-0.03000,0.17500,-0.16000,-0.06388,0.00772,-9.86736,40.797,40.797,40.797,35.062,-0.00200,0.00770,-0.06106
1.408,-0.13500,0.14000,0.01500,-0.06388,0.01260,-9.85760,40.797,40.797,40.797,35.062,0.00509,-0.01391,-0.06163
1.418,0.04000,0.03500,-0.05500,-0.06876,0.00772,-9.83808,40.797,40.797,40.797,35.062,-0.00160,0.00672,-0.06220
1.428,-0.13500,-0.00000,-0.09000,-0.07852,0.01260,-9.84784,40.797,40.797,40.797,35.062,0.00527,-0.01504,-0.06270
1.438,0.04000,0.00000,-0.02000,-0.06388,0.00772,-9.86736,40.797,40.797,40.797,35.035,-0.00140,0.00543,-0.06309
1.448,0.00500,0.07000,-0.16000,-0.05900,-0.00204,-9.84296,40.797,40.797,40.797,35.035,0.00545,-0.01637,-0.06341
1.458,-0.03000,0.07000,-0.12500,-0.06876,0.01260,-9.86248,40.797,40.797,40.797,35.039,-0.00119,0.00428,-0.06379
1.468,-0.06500,0.03500,-0.05500,-0.06388,0.00284,-9.85272,40.797,40.797,40.797,35.039,0.00560,-0.01731,-0.06430
1.478,0.04000,0.10500,-0.12500,-0.05900,-0.00204,-9.83808,40.797,40.797,40.797,35.066,-0.00092,0.00358,-0.06493
1.488,-0.06500,0.03500,-0.12500,-0.05412,0.01260,-9.84296,40.797,40.797,40.797,35.086,0.00590,-0.01791,-0.06575
1.498,0.07500,0.03500,0.05000,-0.04924,0.01748,-9.86248,40.797,40.797,40.797,35.086,-0.00066,0.00299,-0.06667
1.508,-0.06500,-0.17500,-0.09000,-0.05412,0.02724,-9.85760,40.797,40.797,40.797,35.027,0.00589,-0.01849,-0.06744
1.518,0.00500,0.14000,-0.09000,-0.05412,0.01748,-9.85272,40.797,40.797,40.797,35.027,-0.00074,0.00253,-0.06800
1.528,-0.03000,0.17500,-0.02000,-0.04924,0.02236,-9.86248,40.797,40.797,40.797,34.980,0.00600,-0.01880,-0.06844
1.538,0.00500,0.14000,-0.02000,-0.04924,0.00772,-9.84784,40.797,40.797,40.797,34.980,-0.00043,0.00229,-0.06869
1.548,-0.06500,-0.03500,-0.05500,-0.04924,0.00284,-9.83808,40.797,40.797,40.797,35.016,0.00613,-0.01922,-0.06876
1.558,-0.10000,-0.00000,-0.09000,-0.05412,0.01748,-9.86248,40.797,40.797,40.797,35.016,-0.00020,0.00163,-0.06875
1.568,0.07500,0.00000,-0.05500,-0.06876,-0.00692,-9.86248,40.798,40.798,40.798,35.051,0.00644,-0.02006,-0.06876
1.578,0.04000,0.00000,-0.05500,-0.06876,0.00772,-9.84784,40.798,40.798,40.798,35.039,-0.00010,0.00077,-0.06876
1.588,0.04000,-0.07000,-0.05500,-0.07364,0.00772,-9.83320,40.798,40.798,40.798,35.039,0.00625,-0.02073,-0.06876
1.598,0.00500,-0.03500,-0.02000,-0.08340,0.00284,-9.85760,40.798,40.798,40.798,35.086,-0.00026,0.00055,-0.06876
1.608,0.04000,0.03500,-0.05500,-0.06876,0.00772,-9.84296,40.798,40.798,40.798,35.086,0.00616,-0.02054,-0.06876
1.618,-0.03000,-0.00000,-0.02000,-0.04924,0.01748,-9.84296,40.798,40.798,40.798,35.004,-0.00034,0.00103,-0.06875
1.628,-0.03000,0.10500,-0.02000,-0.05900,0.01260,-9.86736,40.798,40.798,40.798,35.004,0.00604,-0.02001,-0.06876
1.638,0.04000,-0.03500,-0.12500,-0.04924,0.02236,-9.84784,40.798,40.798,40.798,35.016,-0.00035,0.00142,-0.06882
1.648,-0.06500,0.03500,-0.12500,-0.04436,0.02724,-9.84784,40.798,40.798,40.798,35.016,0.00609,-0.01985,-0.06907
1.658,-0.03000,0.10500,-0.05500,-0.04924,0.02236,-9.85272,40.798,40.798,40.798,35.039,-0.00026,0.00135,-0.06950
1.668,-0.03000,0.14000,-0.16000,-0.03948,0.02236,-9.84784,40.798,40.798,40.798,35.043,0.00630,-0.02021,-0.07008
1.678,0.00500,0.03500,0.01500,-0.04924,0.00772,-9.84296,40.798,40.798,40.798,35.043,0.00007,0.00078,-0.07082
1.688,0.18000,0.21000,-0.12500,-0.04924,0.00772,-9.85272,40.798,40.798,40.798,35.039,0.00654,-0.02080,-0.07165
1.698,0.04000,0.03500,-0.02000,-0.05900,0.01748,-9.85272,40.798,40.798,40.798,35.039,0.00046,0.00045,-0.07240
1.708,-0.13500,0.03500,-0.05500,-0.06388,0.01260,-9.83808,40.798,40.798,40.798,35.035,0.00659,-0.02101,-0.07304
1.718,-0.10000,0.03500,-0.05500,-0.05900,-0.01180,-9.86248,40.798,40.798,40.798,35.035,0.00033,0.00021,-0.07353
1.728,-0.03000,0.07000,-0.05500,-0.06876,0.01260,-9.85272,40.798,40.798,40.798,35.039,0.00643,-0.02143,-0.07386
1.738,-0.03000,0.14000,-0.02000,-0.06876,0.01260,-9.84296,40.798,40.798,40.798,35.039,0.00039,-0.00040,-0.07404
1.748,0.00500,-0.07000,-0.12500,-0.07364,0.01260,-9.86248,40.798,40.798,40.798,35.016,0.00635,-0.02239,-0.07417
1.758,-0.10000,0.07000,-0.09000,-0.06876,0.01748,-9.85272,40.798,40.798,40.798,35.039,0.00057,-0.00155,-0.07436
1.768,0.00500,0.10500,-0.09000,-0.05900,0.01260,-9.84784,40.798,40.798,40.798,35.039,0.00666,-0.02349,-0.07461
1.778,0.00500,0.10500,-0.05500,-0.05900,0.01260,-9.84296,40.797,40.797,40.797,35.023,0.00096,-0.00243,-0.07485
1.788,0.00500,-0.07000,-0.12500,-0.05900,0.02236,-9.85760,40.797,40.797,40.797,35.023,0.00671,-0.02424,-0.07517
1.798,-0.06500,-0.00000,-0.05500,-0.05412,0.01748,-9.85272,40.797,40.797,40.797,35.051,0.00096,-0.00305,-0.07554
1.808,0.18000,0.14000,-0.05500,-0.04924,0.00284,-9.83320,40.797,40.797,40.797,35.051,0.00682,-0.02473,-0.07586
1.818,0.00500,0.10500,0.01500,-0.03460,0.01260,-9.85272,40.797,40.797,40.797,35.062,0.00116,-0.00321,-0.07611
1.828,-0.06500,-0.00000,-0.05500,-0.04436,0.00772,-9.85760,40.797,40.797,40.797,35.062,0.00662,-0.02467,-0.07636
1.838,0.11000,0.14000,0.08500,-0.04924,0.00284,-9.85272,40.797,40.797,40.797,35.070,0.00112,-0.00304,-0.07655
1.848,-0.03000,-0.10500,-0.05500,-0.06388,0.02236,-9.85760,40.797,40.797,40.797,35.035,0.00656,-0.02443,-0.07661
1.858,-0.10000,0.07000,-0.02000,-0.06388,0.01748,-9.85760,40.797,40.797,40.797,35.035,0.00090,-0.00279,-0.07661
1.868,0.04000,-0.03500,0.01500,-0.06388,0.00772,-9.83808,40.797,40.797,40.797,35.039,0.00619,-0.02449,-0.07661
1.878,0.11000,0.07000,-0.12500,-0.06876,-0.00692,-9.84784,40.797,40.797,40.797,35.039,0.00083,-0.00297,-0.07667
1.888,-0.03000,0.10500,-0.23000,-0.06876,0.02236,-9.85760,40.797,40.797,40.797,35.023,0.00613,-0.02449,-0.07697
1.898,-0.06500,0.14000,-0.09000,-0.06388,0.01748,-9.84296,40.797,40.797,40.797,35.023,0.00097,-0.00288,-0.07757
1.908,-0.06500,0.07000,-0.12500,-0.04436,0.00772,-9.86736,40.797,40.797,40.797,35.016,0.00624,-0.02458,-0.07834
1.918,-0.03000,-0.00000,0.08500,-0.05412,0.02236,-9.84784,40.797,40.797,40.797,35.016,0.00111,-0.00310,-0.07923
1.928,-0.17000,0.07000,-0.09000,-0.05900,0.00772,-9.84784,40.797,40.797,40.797,35.074,0.00623,-0.02511,-0.08013
1.938,-0.03000,0.14000,0.01500,-0.05900,0.00772,-9.85272,40.797,40.797,40.797,35.039,0.00124,-0.00414,-0.08079
